id,name,description,date,url,display,format,keywords,filters
academic-research-groups,Academic Research Groups,Professors label with research groups and publications,2025-14-03,https://vermont-complex-systems.github.io/datasets/data/academic-research-groups.csv,https://github.com/Vermont-Complex-Systems/datasets/blob/main/static/data/academic-research-groups.csv,CSV,research,groups
uvm-departments,UVM Departments to Colleges,Mapping of University of Vermont departments to their parent colleges,2025-14-03,https://vermont-complex-systems.github.io/datasets/data/uvm_departments.csv,https://github.com/Vermont-Complex-Systems/datasets/blob/main/static/data/uvm_departments.csv,CSV,colleges,scisci
